Orthogroup_ID	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value
N0.HOG0000164	Gene Group 21	transcription regulation	uncharacterized protein(CG8765)	1	1	19	9	2	1	1	3	4	1	17	4	5	5	18	rna-NM_140884.3	FBgn0036900	This gene is referred to in FlyBase by the symbol Dmel\CG8765 (FBgn0036900). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (all unique). Gene sequence location is 3L:19683941..19687353. Its molecular function is described by: . It is involved in the biological process described with: dendrite morphogenesis; regulation of transcription by RNA polymerase II. 8 alleles are reported. The phenotypes of these alleles manifest in: external sensillum; sense organ; abdominal anterior ventral multidendritic neuron vdaa; anterior-posterior subdivision of organism; cuboidal/columnar epithelium. The phenotypic classes of alleles include: some die during pupal stage; abnormal neuroanatomy; lethal; partially lethal - majority die; viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.	0.0
N0.HOG0000173	Gene Group 25	glycolysis and early development (and other)	kin of rumpel(kumpel)	4	22	16	3	12	7	2	6	2	1	1	1	1	1	21	rna-NM_143189.4	FBgn0250757	The gene kin of rumpel is referred to in FlyBase by the symbol Dmel\kumpel (CG42235, FBgn0250757). It is a protein_coding_gene from Dmel. It has 5 annotated transcripts and 5 polypeptides (all unique). Gene sequence location is 3R:25907022..25921046. Its molecular function is described by: symporter activity; transmembrane transporter activity; solute:sodium symporter activity. It is involved in the biological process described with: transmembrane transport; sodium ion transport. 29 alleles are reported. The phenotypes of these alleles manifest in: eye; trichogen cell; orbital bristle; wing vein. The phenotypic classes of alleles include: increased mortality during development; partially lethal; increased mortality; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adult male stages.	0.0
N0.HOG0000174	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG3106)	11	19	13	4	7	13	10	17	3	1	2	3	5	1	18	rna-NM_001298131.1	FBgn0030148	This gene is referred to in FlyBase by the symbol Dmel\CG3106 (FBgn0030148). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is X:9659095..9662903. Its molecular function is described by: acyltransferase activity, transferring groups other than amino-acyl groups. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; partially lethal - majority die. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.	0.0
N0.HOG0000177	Gene Group 30	pheromone sensing	Gustatory receptor 64e(Gr64e)	3	6	10	6	11	12	12	19	4	5	9	6	3	1	18	rna-NM_001031935.2	FBgn0045476	The gene Gustatory receptor 64e is referred to in FlyBase by the symbol Dmel\Gr64e (CG32258, FBgn0045476). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 3L:4032141..4035703. Its molecular function is described by: ligand-gated monoatomic ion channel activity; ionotropic sweet taste receptor activity; taste receptor activity; sweet taste receptor activity. It is involved in the biological process described with: sensory perception of sweet taste; detection of chemical stimulus involved in sensory perception of taste; monoatomic ion transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal feeding behavior; abnormal taste perception; abnormal proboscis extension reflex. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed at stages throughout the pupal period, in adult male stages.  This gene is annotated by FlyBase as a dicistronic gene, meaning that some or all of its transcripts encode two or more polypeptide-coding open reading frames (ORFs) , with each ORF assigned to a different gene.  The distribution of RNA-Seq coverage data amongst the different encoded genes cannot be determined.	0.0
N0.HOG0000179	None	None	beta galactosidase (from API summary)	2	4	3	1	7	4	16	15	9	6	6	8	12	13	15	rna-NM_135134.3	FBgn0001089	The gene beta galactosidase is referred to in FlyBase by the symbol Dmel\Gal (CG9092, FBgn0001089). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:6003574..6006827. Its molecular function is described by: protein homodimerization activity; beta-galactosidase activity; hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with: carbohydrate metabolic process; galactose catabolic process; galactose metabolic process; glycoprotein catabolic process. 12 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed at stages throughout the pupal period.	0.0
N0.HOG0000194	Gene Group 30	pheromone sensing	Gustatory receptor 66a(Gr66a)	2	2	1	2	19	7	5	22	1	1	1	1	1	1	21	rna-NM_079247.3	FBgn0035870	The gene Gustatory receptor 66a is referred to in FlyBase by the symbol Dmel\Gr66a (CG7189, FBgn0035870). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:8305336..8306980. Its molecular function is described by: taste receptor activity; ligand-gated monoatomic ion channel activity; ionotropic taste receptor activity. It is involved in the biological process described with 11 unique terms, many of which group under: multicellular organismal process; system process; response to stimulus; sensory perception of taste; detection of chemical stimulus. 9 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal taste perception; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of extremely low expression.  Peak expression observed at stages throughout embryogenesis, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000198	None	None	Cathepsin L1 (from API summary)	1	10	3	4	7	6	9	9	8	2	15	7	9	12	14	rna-NM_079011.3	FBgn0013770	The gene Cathepsin L1 is referred to in FlyBase by the symbol Dmel\CtsL1 (CG6692, FBgn0013770). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (all unique). Gene sequence location is 2R:13960675..13967981. Its molecular function is described by: peptidase activity; cysteine-type peptidase activity; cysteine-type endopeptidase activity. It is involved in the biological process described with: proteolysis involved in protein catabolic process; proteolysis. 46 alleles are reported. The phenotypes of these alleles manifest in: germline cyst; plasma membrane bounded cell projection; acellular anatomical structure; egg; primordium. The phenotypic classes of alleles include: abnormal cell death; phenotype; fertile; chemical resistant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of high expression.  Peak expression observed at stages throughout embryogenesis, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000200	Gene Group 21	transcription regulation	uncharacterized protein(CG5953)	1	2	14	5	3	1	5	1	4	2	27	6	15	15	26	rna-NM_001273574.1	FBgn0032587	This gene is referred to in FlyBase by the symbol Dmel\CG5953 (FBgn0032587). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (2 unique). Gene sequence location is 2L:16508078..16532877. Its molecular function is unknown. The biological processes in which it is involved are not known. 35 alleles are reported. The phenotypes of these alleles manifest in: mesonotum; chaeta. The phenotypic classes of alleles include: fertile; lethal; visible; viable; partially lethal - majority die. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 18-24 hour embryonic stages, during late pupal stages.	0.0
N0.HOG0000204	Gene Group 1	detoxification	Cytochrome P450 318a1(Cyp318a1)	6	14	6	4	20	4	1	10	2	7	6	6	7	7	19	rna-NM_167318.1	FBgn0030369	The gene Cytochrome P450 318a1 is referred to in FlyBase by the symbol Dmel\Cyp318a1 (CG1786, FBgn0030369). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:12032632..12035283. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable; lethal - all die during P-stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, during late pupal stages, in stages of adults of both sexes.	0.0
N0.HOG0000218	None	None	Ejaculatory bulb protein III (from API summary)	1	2	1	1	13	12	13	8	6	5	5	3	4	4	12	rna-NM_001299879.1	FBgn0011695	The gene Ejaculatory bulb protein III is referred to in FlyBase by the symbol Dmel\EbpIII (CG11390, FBgn0011695). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:24026172..24027518. Its molecular function is unknown. It is involved in the biological process described with: mating plug formation; response to virus; metamorphosis. 7 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; increased efficacy of long-term memory. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of very low expression.  Peak expression observed during late pupal stages, in adult male stages.	0.0
N0.HOG0000233	Gene Group 2	protein breakdown (proteolysis)	Gram-positive Specific Serine protease(grass)	1	28	2	1	1	1	1	1	1	1	1	1	1	1	27	rna-NM_143286.3	FBgn0039494	The gene Gram-positive Specific Serine protease is referred to in FlyBase by the symbol Dmel\grass (CG5896, FBgn0039494). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 3R:27157948..27159781. Its molecular function is described by: calcium ion binding; serine hydrolase activity; serine-type endopeptidase activity. It is involved in the biological process described with 7 unique terms, many of which group under: primary metabolic process; protein maturation; regulation of defense response to fungus; Toll receptor ligand protein activation cascade; protein metabolic process. 10 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal immune response; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during early pupal stages.	0.0
N0.HOG0000241	None	None	alpha-Tubulin at 67C (from API summary)	1	9	17	3	2	2	4	2	7	3	3	2	3	4	16	rna-NM_079285.4	FBgn0087040	The gene alpha-Tubulin at 67C is referred to in FlyBase by the symbol Dmel\αTub67C (CG8308, FBgn0087040). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:9681268..9683370. Its molecular function is described by: GTP binding; structural constituent of cytoskeleton. It is involved in the biological process described with 13 unique terms, many of which group under: cellular component organization or biogenesis; organelle organization; cellular process; multicellular organismal process; multicellular organism development. 42 alleles are reported. The phenotypes of these alleles manifest in: nucleus; egg; metaphase; cortical microtubule cytoskeleton; trunk mesoderm derivative. The phenotypic classes of alleles include: phenotype; abnormal cell number; lethal; some die during embryonic stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.	0.0
N0.HOG0000244	Gene Group 14	uncharacterized	uncharacterized protein(CG7460)	4	18	16	4	7	9	7	9	4	3	3	1	2	2	17	rna-NM_140747.2	FBgn0036749	This gene is referred to in FlyBase by the symbol Dmel\CG7460 (FBgn0036749). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:17740540..17742540. Its molecular function is described by: oxidoreductase activity; polyamine oxidase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 06-18 hour embryonic stages, during early larval stages, in adult female stages.	0.0
N0.HOG0000260	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG4572)	1	8	9	4	2	1	1	2	4	13	11	9	7	14	13	rna-NM_169879.3	FBgn0038738	This gene is referred to in FlyBase by the symbol Dmel\CG4572 (FBgn0038738). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 3R:19862517..19864393. Its molecular function is described by: serine hydrolase activity; serine-type carboxypeptidase activity. It is involved in the biological process described with: proteolysis. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of moderate expression.  Peak expression observed within 00-06 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000278	Gene Group 13	molting and development	uncharacterized protein(CG12539)	3	12	9	5	1	4	7	4	2	1	9	9	6	10	11	rna-NM_132748.3	FBgn0030586	This gene is referred to in FlyBase by the symbol Dmel\CG12539 (FBgn0030586). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:14842617..14844757. Its molecular function is described by: flavin adenine dinucleotide binding; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity. It is involved in the biological process described with: ecdysteroid metabolic process. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late larval stages.	0.0
N0.HOG0000284	None	None	None	1	13	13	4	10	4	6	6	2	2	5	3	5	8	12	rna-NM_142964.3	FBgn0039156	This gene is referred to in FlyBase by the symbol Dmel\CG6178 (FBgn0039156). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:24152347..24154896. Its molecular function is described by: long-chain fatty acid-CoA ligase activity; CoA-ligase activity. It is involved in the biological process described with: fatty-acyl-CoA biosynthetic process; acyl-CoA metabolic process; long-chain fatty acid metabolic process. 10 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, at stages throughout the larval period, in adult female stages.	0.0
N0.HOG0000296	Gene Group 32	chromatin organization and transcription regulation	uncharacterized protein(CG16863)	1	14	1	6	1	1	17	1	1	2	11	2	1	23	22	rna-NM_001042896.3	FBgn0028931	This gene is referred to in FlyBase by the symbol Dmel\CG16863 (FBgn0028931). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:13790959..13793264. Its molecular function is described by: DNA binding. It is involved in the biological process described with: regulation of transcription by RNA polymerase II. 13 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 00-12 hour embryonic stages.	0.0
N0.HOG0000302	Gene Group 32	chromatin organization and transcription regulation	putzig(pzg)	1	1	1	2	2	1	3	1	3	1	1	1	59	3	58	rna-NM_141040.2	FBgn0259785	The gene putzig is referred to in FlyBase by the symbol Dmel\pzg (CG7752, FBgn0259785). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:21286099..21290310. Its molecular function is described by: transcription cis-regulatory region binding; protein binding; chromatin binding; nuclear receptor binding. It is involved in the biological process described with 7 unique terms, many of which group under: RNA biosynthetic process; cellular component organization; cellular component organization or biogenesis; regulation of primary metabolic process; positive regulation of DNA-templated transcription. 27 alleles are reported. The phenotypes of these alleles manifest in: intracellular organelle; intracellular membraneless organelle; intracellular anatomical structure; ganglion mother cell; trunk mesoderm derivative. The phenotypic classes of alleles include: modifier of variegation; lethal; phenotype; abnormal flight. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.	0.0
N0.HOG0000305	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG15096)	2	2	13	3	5	3	4	2	10	7	6	5	6	8	11	rna-NM_137532.3	FBgn0034394	This gene is referred to in FlyBase by the symbol Dmel\CG15096 (FBgn0034394). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:18808356..18815019. Its molecular function is described by: transmembrane transporter activity. It is involved in the biological process described with: transmembrane transport. 9 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, in stages of adults of both sexes.	0.0
N0.HOG0000315	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG10469)	4	8	4	1	3	3	17	8	8	3	5	3	4	3	16	rna-NM_139768.2	FBgn0035678	This gene is referred to in FlyBase by the symbol Dmel\CG10469 (FBgn0035678). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:6092188..6093313. Its molecular function is described by: serine-type endopeptidase activity; serine hydrolase activity. It is involved in the biological process described with: innate immune response; proteolysis. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages, during late larval stages, during early pupal stages, in adult female stages.	0.0
N0.HOG0000317	None	None	None	2	9	2	4	13	7	14	14	4	2	1	1	1	1	13	rna-NM_142619.3	FBgn0038784	This gene is referred to in FlyBase by the symbol Dmel\CG4362 (FBgn0038784). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:20306216..20307537. Its molecular function is unknown. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period.	0.0
N0.HOG0000319	None	None	Sulfotransferase 1 (from API summary)	2	32	6	1	1	2	6	1	2	2	7	1	5	7	31	rna-NM_137971.3	FBgn0034887	The gene Sulfotransferase 1 is referred to in FlyBase by the symbol Dmel\St1 (CG5428, FBgn0034887). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:23681623..23682952. Its molecular function is described by: sulfotransferase activity. It is involved in the biological process described with: sulfation; xenobiotic metabolic process. 5 alleles are reported. The phenotype of these alleles manifest in: trichogen cell. The phenotypic classes of alleles include: viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 12-18 embryonic stages.	0.0
N0.HOG0000342	Gene Group 12	alpha-mannosidase	Lysosomal alpha-mannosidase VI(LManVI)	6	2	4	1	8	9	13	11	5	6	1	2	1	1	12	rna-NM_135409.3	FBgn0032069	The gene Lysosomal alpha-mannosidase VI is referred to in FlyBase by the symbol Dmel\LManVI (CG9468, FBgn0032069). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:8777661..8781252. Its molecular function is described by: alpha-mannosidase activity; catalytic activity; carbohydrate binding. It is involved in the biological process described with: mannose metabolic process; carbohydrate metabolic process. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the larval period, in stages of adults of both sexes.	0.001
N0.HOG0000345	Gene Group 30	pheromone sensing	Gustatory receptor 77a(Gr77a)	1	1	3	1	14	10	10	30	1	1	1	1	1	1	29	rna-NM_168868.2	FBgn0045474	The gene Gustatory receptor 77a is referred to in FlyBase by the symbol Dmel\Gr77a (CG32433, FBgn0045474). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:20737569..20739430. Its molecular function is described by: ligand-gated monoatomic ion channel activity; taste receptor activity. It is involved in the biological process described with: sensory perception of taste; chemosensory behavior; monoatomic ion transmembrane transport; male courtship behavior. 5 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.0
N0.HOG0000365	Gene Group 4	Esterase and mating behavior	uncharacterized protein(CG6414)	1	27	29	1	1	1	1	1	1	1	1	1	1	1	28	rna-NM_001316636.1	FBgn0029690	This gene is referred to in FlyBase by the symbol Dmel\CG6414 (FBgn0029690). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is X:3968788..3971350. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000375	None	None	None	2	9	14	2	4	7	6	4	3	3	3	3	3	4	12	rna-NM_143534.3	FBgn0039768	This gene is referred to in FlyBase by the symbol Dmel\CG15533 (FBgn0039768). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:30428820..30431362. Its molecular function is described by: hydrolase activity; acid sphingomyelin phosphodiesterase activity; sphingomyelin phosphodiesterase activity. It is involved in the biological process described with: ceramide biosynthetic process; sphingomyelin catabolic process. 8 alleles are reported. The phenotypes of these alleles manifest in: mesonotum; trichogen cell. The phenotypic classes of alleles include: visible; viable; lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during early larval stages.	0.003
N0.HOG0000377	Gene Group 10	uncharacterized	uncharacterized protein(CG1791)	2	1	4	1	1	4	30	2	1	1	2	4	1	5	29	rna-NM_132363.1	FBgn0030163	This gene is referred to in FlyBase by the symbol Dmel\CG1791 (FBgn0030163). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (all unique). Gene sequence location is X:9963453..9964878. Its molecular function is described by: transmembrane receptor protein tyrosine kinase activator activity. It is involved in the biological process described with: negative regulation of apoptotic process. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: lethal - all die during embryonic stage; lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000383	Gene Group 18	uncharacterized	uncharacterized protein(CG11550)	1	2	12	5	6	6	10	16	2	2	1	1	1	1	15	rna-NM_143625.2	FBgn0039864	This gene is referred to in FlyBase by the symbol Dmel\CG11550 (FBgn0039864). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:31678147..31679880. Its molecular function is described by: phosphatidylinositol bisphosphate binding. The biological processes in which it is involved are not known. 8 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000394	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG4653)	5	13	2	1	1	2	3	2	1	1	1	1	1	1	12	rna-NM_132922.3	FBgn0030776	This gene is referred to in FlyBase by the symbol Dmel\CG4653 (FBgn0030776). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:16704081..16705278. Its molecular function is unknown. It is involved in the biological process described with: proteolysis. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, in stages of adults of both sexes.	0.003
N0.HOG0000395	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG31265)	9	13	8	2	2	1	1	2	1	1	1	1	1	1	12	rna-NM_142342.4	FBgn0051265	This gene is referred to in FlyBase by the symbol Dmel\CG31265 (FBgn0051265). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:17128212..17129120. Its molecular function is described by: serine hydrolase activity; serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 2 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period.	0.004
N0.HOG0000399	Gene Group 22	glutathione metabolic process	Glutathione S transferase S1(GstS1)	1	3	1	1	9	7	1	13	4	6	7	4	4	4	12	rna-NM_001274111.1	FBgn0010226	The gene Glutathione S transferase S1 is referred to in FlyBase by the symbol Dmel\GstS1 (CG8938, FBgn0010226). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (2 unique). Gene sequence location is 2R:17093246..17099501. Its molecular function is described by: glutathione transferase activity; prostaglandin-D synthase activity; glutathione peroxidase activity. It is involved in the biological process described with: glutathione metabolic process. 76 alleles are reported. The phenotypes of these alleles manifest in: macrochaeta; wing; embryonic/larval hemocyte; eye. The phenotypic classes of alleles include: viable; increased mortality during development; increased mortality; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of moderately high expression.  Peak expression observed during late pupal stages.	0.0
N0.HOG0000401	Gene Group 9	sexual reproduction	uncharacterized protein(CG34189)	3	10	6	4	9	3	21	5	1	3	1	1	1	1	20	rna-NM_001103877.2	FBgn0085218	This gene is referred to in FlyBase by the symbol Dmel\CG34189 (FBgn0085218). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:16754444..16754925. Its molecular function is described by: protein homodimerization activity. The biological processes in which it is involved are not known. 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed in adult male stages.	0.0
N0.HOG0000411	None	None	regucalcin (from API summary)	2	6	4	1	9	6	15	10	2	1	2	2	2	2	14	rna-NM_167316.2	FBgn0030362	The gene regucalcin is referred to in FlyBase by the symbol Dmel\regucalcin (CG1803, FBgn0030362). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (2 unique). Gene sequence location is X:12012377..12017375. Its molecular function is described by: serine hydrolase activity; calcium ion binding; gluconolactonase activity. It is involved in the biological process described with: L-ascorbic acid biosynthetic process; sexual reproduction. 7 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: lethal; viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000414	Gene Group 35	RNA polymerase II transcription regulation	distal antenna-young(dany)	1	1	1	1	1	1	1	1	2	1	43	1	1	1	42	rna-NM_166493.2	FBgn0050401	The gene distal antenna-young is referred to in FlyBase by the symbol Dmel\dany (CG30401, FBgn0050401). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:21985626..21986938. Its molecular function is described by: DNA binding. It is involved in the biological process described with: regulation of transcription by RNA polymerase II. 18 alleles are reported. The phenotypes of these alleles manifest in: cellular anatomical structure; organelle; gonad; microtubule cytoskeleton; membraneless organelle. The phenotypic classes of alleles include: abnormal meiotic cell cycle; abnormal cell number; viable; male sterile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of extremely low expression.  Peak expression observed within 00-06 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
